date,close_price,volume,news_article_count
2026-02-23,399.8300,69680026,0.0
2026-02-24,409.3800,58579482,0.0
2026-02-25,417.4000,54809704,27.0
2026-02-26,408.5800,53602497,26.0
2026-02-27,402.5100,56890097,34.0
2026-03-02,403.3200,55088338,44.0
2026-03-03,392.4300,62617298,31.0
2026-03-04,405.9400,67208982,50.0
